Cutoff,Array Size,Serial Time
6.222222,709090.909091,0.103887
6.222222,718181.818182,0.104830
6.222222,727272.727273,0.105773
6.222222,736363.636364,0.106716
6.222222,745454.545455,0.107658
6.222222,754545.454545,0.108601
6.222222,763636.363636,0.109544
6.222222,772727.272727,0.110487
6.222222,781818.181818,0.111429
6.222222,790909.090909,0.112372
6.222222,800000.000000,0.113315
6.222222,809090.909091,0.113618
6.222222,818181.818182,0.113921
6.222222,827272.727273,0.114224
6.222222,836363.636364,0.114527
6.222222,845454.545455,0.114830
6.222222,854545.454545,0.115133
6.222222,863636.363636,0.115436
6.222222,872727.272727,0.115739
6.222222,881818.181818,0.116042
6.222222,890909.090909,0.116345
6.222222,900000.000000,0.116648
6.222222,909090.909091,0.118949
6.222222,918181.818182,0.121251
6.222222,927272.727273,0.123552
6.222222,936363.636364,0.125853
6.222222,945454.545455,0.128155
6.222222,954545.454545,0.130456
6.222222,963636.363636,0.132758
6.222222,972727.272727,0.135059
6.222222,981818.181818,0.137360
6.222222,990909.090909,0.139662
6.222222,1000000.000000,0.141963
6.333333,100000.000000,0.000000
6.333333,109090.909091,0.013485
6.333333,118181.818182,0.014803
6.333333,127272.727273,0.016121
6.333333,136363.636364,0.017439
6.333333,145454.545455,0.018758
6.333333,154545.454545,0.020076
6.333333,163636.363636,0.021394
6.333333,172727.272727,0.022712
6.333333,181818.181818,0.024030
6.333333,190909.090909,0.025348
6.333333,200000.000000,0.026667
6.333333,209090.909091,0.028606
6.333333,218181.818182,0.030545
6.333333,227272.727273,0.032485
6.333333,236363.636364,0.034424
6.333333,245454.545455,0.036364
6.333333,254545.454545,0.038303
6.333333,263636.363636,0.040242
6.333333,272727.272727,0.042182
6.333333,281818.181818,0.044121
6.333333,290909.090909,0.046061
6.333333,300000.000000,0.048000
6.333333,309090.909091,0.049283
6.333333,318181.818182,0.050566
6.333333,327272.727273,0.051848
6.333333,336363.636364,0.053131
6.333333,345454.545455,0.054414
6.333333,354545.454545,0.055697
6.333333,363636.363636,0.056980
6.333333,372727.272727,0.058263
6.333333,381818.181818,0.059545
6.333333,390909.090909,0.060828
6.333333,400000.000000,0.062111
6.333333,409090.909091,0.063343
6.333333,418181.818182,0.064576
6.333333,427272.727273,0.065808
6.333333,436363.636364,0.067040
6.333333,445454.545455,0.068273
6.333333,454545.454545,0.069505
6.333333,463636.363636,0.070737
6.333333,472727.272727,0.071970
6.333333,481818.181818,0.073202
6.333333,490909.090909,0.074434
6.333333,500000.000000,0.075667
6.333333,509090.909091,0.077187
6.333333,518181.818182,0.078707
6.333333,527272.727273,0.080227
6.333333,536363.636364,0.081747
6.333333,545454.545455,0.083268
6.333333,554545.454545,0.084788
6.333333,563636.363636,0.086308
6.333333,572727.272727,0.087828
6.333333,581818.181818,0.089348
6.333333,590909.090909,0.090869
6.333333,600000.000000,0.092389
6.333333,609090.909091,0.093293
6.333333,618181.818182,0.094197
6.333333,627272.727273,0.095101
6.333333,636363.636364,0.096005
6.333333,645454.545455,0.096909
6.333333,654545.454545,0.097813
6.333333,663636.363636,0.098717
6.333333,672727.272727,0.099621
6.333333,681818.181818,0.100525
6.333333,690909.090909,0.101430
