Cutoff,Array Size,Parallel Time
3.464646,381818.181818,0.012018
3.464646,390909.090909,0.012358
3.464646,400000.000000,0.012697
3.464646,409090.909091,0.012968
3.464646,418181.818182,0.013239
3.464646,427272.727273,0.013510
3.464646,436363.636364,0.013781
3.464646,445454.545455,0.014053
3.464646,454545.454545,0.014324
3.464646,463636.363636,0.014595
3.464646,472727.272727,0.014866
3.464646,481818.181818,0.015137
3.464646,490909.090909,0.015408
3.464646,500000.000000,0.015679
3.464646,509090.909091,0.016084
3.464646,518181.818182,0.016488
3.464646,527272.727273,0.016892
3.464646,536363.636364,0.017296
3.464646,545454.545455,0.017701
3.464646,554545.454545,0.018105
3.464646,563636.363636,0.018509
3.464646,572727.272727,0.018913
3.464646,581818.181818,0.019318
3.464646,590909.090909,0.019722
3.464646,600000.000000,0.020126
3.464646,609090.909091,0.020420
3.464646,618181.818182,0.020714
3.464646,627272.727273,0.021008
3.464646,636363.636364,0.021302
3.464646,645454.545455,0.021596
3.464646,654545.454545,0.021889
3.464646,663636.363636,0.022183
3.464646,672727.272727,0.022477
3.464646,681818.181818,0.022771
3.464646,690909.090909,0.023065
3.464646,700000.000000,0.023359
3.464646,709090.909091,0.023609
3.464646,718181.818182,0.023859
3.464646,727272.727273,0.024109
3.464646,736363.636364,0.024359
3.464646,745454.545455,0.024609
3.464646,754545.454545,0.024859
3.464646,763636.363636,0.025109
3.464646,772727.272727,0.025359
3.464646,781818.181818,0.025609
3.464646,790909.090909,0.025859
3.464646,800000.000000,0.026109
3.464646,809090.909091,0.026384
3.464646,818181.818182,0.026659
3.464646,827272.727273,0.026934
3.464646,836363.636364,0.027210
3.464646,845454.545455,0.027485
3.464646,854545.454545,0.027760
3.464646,863636.363636,0.028035
3.464646,872727.272727,0.028311
3.464646,881818.181818,0.028586
3.464646,890909.090909,0.028861
3.464646,900000.000000,0.029136
3.464646,909090.909091,0.029416
3.464646,918181.818182,0.029695
3.464646,927272.727273,0.029974
3.464646,936363.636364,0.030253
3.464646,945454.545455,0.030532
3.464646,954545.454545,0.030811
3.464646,963636.363636,0.031090
3.464646,972727.272727,0.031370
3.464646,981818.181818,0.031649
3.464646,990909.090909,0.031928
3.464646,1000000.000000,0.032207
3.535354,100000.000000,0.000000
3.535354,109090.909091,0.003153
3.535354,118181.818182,0.003405
3.535354,127272.727273,0.003656
3.535354,136363.636364,0.003908
3.535354,145454.545455,0.004160
3.535354,154545.454545,0.004411
3.535354,163636.363636,0.004663
